id,gender,usia,negara,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10
P069,Laki-laki,32,US,1,1,3,5,1,2,1,3,3,4
P070,Perempuan ,23,Brazil,3,5,1,1,2,3,3,3,4,4
P071,Perempuan ,,JP,4,1,NA,3,2,2,4,,NA,3
P072,Perempuan ,19,Pakistan,4,3,1,5,3,2,1,4,5,3
P073,perempuan,27,  IN,4,2,4,4,3,1,3,2,2,5
P074,Laki-laki,43,MY,4,,3,5,1,NA,4,4,1,3
P075,Laki-Laki ,34,JP,5,2,2,1,5,2,2,5,1,5
P076,perempuan,37,NZ,-1,5,5,5,5,,1,,5,2
P077, perempuan,33,Trinidad and Tobago,3,4,1,2,4,3,3,3,3,2
P078, perempuan,28,India,3,2,6,5,2,5,2,4,4,3
P079,Perempuan, 30 ,NL,2,3,,5,4,1,4,3,4,4
P080, Laki-laki,29,New Zealand,4,5,5,1,1,3,3,2,4,1
P081,laki-laki,43,BR,2,5,5,4,3,5,5,5,1,1
P082, perempuan,41,  IN,5,5,1,2,5,4,2,,1,4
P083,Perempuan ,40,Australia,5,1,5,3,4,3,4,3,3,2
P084,LAKI-LAKI,25,Germany,2,4,3,3,5,4,4,2,3,1
P085,Perempuan ,41,BR,5,5,2,5,1,5,2,NA,4,2
P086, Laki-laki,23,TH,4,2,3,1,1,2,1,2,2,1
P087,Perempuan ,41,DE,1,5,3,5,2,4,1,4,2,
P088,PEREMPUAN,42,AU,4,5,4,2,4,2,,4,3,5
P089,LAKI-LAKI,40,India,NA,3,5,3,3,2,2,4,5,5
P090, perempuan,44,Australia,5,1,5,1,1,NA,5,5,3,4
P091,Laki-laki,36,Brazil,-1,1,5,5,NA,3,4,1,5,NA
P092,PEREMPUAN,35,  US,1,4,,2,4,4,4,5,3,5
P093, perempuan,25,ID,3,5,4,2,2,1,,5,1,1
P094, Laki-laki,,Pakistan,1,1,2,1,3,5,5,3,2,5
P095,Laki-Laki ,19,New Zealand,2,4,1,4,3,4,4,5,2,2
P096,Perempuan,31,New Zealand,4,2,1,3,-1,1,5,1,5,5
P097,Laki-Laki ,28,Germany,1,2,1,4,5,4,5,3,5,3
P098,PEREMPUAN,33,Vietnam,-1,3,3,1,2,1,5,4,2,4
P099,Laki-Laki ,39,France,4,4,3,5,5,1,1,1,4,2
P100,Laki-laki,24,NL,1,5,4,,4,,3,3,,4
